Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Jarrett Allen,BKN,18,1,0.1,1.1%,0.00,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0%,100.0%,0.0%,0.0%,0.0%,
Dwyane Wade,CLE,26,9,0.3,2.7%,0.67,6,0.2,2,0.1,6,0.2,33.3,33.3,11.1%,22.2%,0.0%,0.0%,33.3%,
Courtney Lee,NYK,27,18,0.7,5.6%,0.83,15,0.6,7,0.3,15,0.6,46.7,50.0,0.0%,16.7%,0.0%,0.0%,38.9%,45.7
Ron Baker,NYK,9,5,0.6,13.9%,0.80,4,0.4,1,0.1,4,0.4,25.0,25.0,20.0%,0.0%,0.0%,0.0%,40.0%,
Nemanja Bjelica,MIN,18,2,0.1,2.0%,0.00,0,0.0,0,0.0,2,0.1,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Joe  Ingles,UTA,27,24,0.9,8.5%,0.88,21,0.8,8,0.3,19,0.7,42.1,47.4,8.3%,16.7%,8.3%,4.2%,37.5%,51.2
Clint Capela,HOU,25,1,0.0,0.3%,2.00,2,0.1,1,0.0,1,0.0,100.0,100.0,0.0%,0.0%,0.0%,0.0%,100.0%,
Tyler Ulis,PHX,28,10,0.4,3.4%,1.00,10,0.4,4,0.1,7,0.3,57.1,57.1,10.0%,20.0%,10.0%,0.0%,50.0%,71.1
Otto Porter Jr.,WAS,26,17,0.7,4.8%,0.47,8,0.3,4,0.2,17,0.7,23.5,23.5,0.0%,0.0%,0.0%,0.0%,23.5%,4.6
John Wall,WAS,16,7,0.4,2.0%,0.71,5,0.3,2,0.1,7,0.4,28.6,35.7,0.0%,0.0%,0.0%,0.0%,28.6%,
Kelly Oubre Jr.,WAS,27,31,1.1,9.9%,0.55,17,0.6,5,0.2,26,1.0,19.2,19.2,16.1%,6.5%,12.9%,6.5%,25.8%,10.7
Joel Embiid,PHI,22,6,0.3,1.1%,0.33,2,0.1,1,0.0,6,0.3,16.7,16.7,0.0%,0.0%,0.0%,0.0%,16.7%,
James Ennis,MEM,26,5,0.2,2.9%,0.80,4,0.2,1,0.0,4,0.2,25.0,25.0,20.0%,0.0%,20.0%,0.0%,40.0%,
Jarell Martin,MEM,25,2,0.1,1.4%,0.00,0,0.0,0,0.0,2,0.1,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Dragan Bender,PHX,29,3,0.1,1.8%,0.00,0,0.0,0,0.0,3,0.1,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Mike Muscala,ATL,9,1,0.1,1.5%,0.00,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0%,100.0%,0.0%,0.0%,0.0%,
Luke Babbitt,ATL,24,10,0.4,6.5%,1.30,13,0.5,5,0.2,9,0.4,55.6,66.7,10.0%,10.0%,10.0%,10.0%,50.0%,93.1
Stephen Curry,GSW,23,20,0.9,3.8%,1.30,26,1.1,10,0.4,19,0.8,52.6,68.4,0.0%,5.0%,0.0%,0.0%,50.0%,93.1
Malcom Delaney,ATL,20,6,0.3,4.8%,0.83,5,0.3,2,0.1,5,0.3,40.0,50.0,0.0%,16.7%,0.0%,0.0%,33.3%,
Carmelo Anthony,OKC,25,2,0.1,0.4%,1.50,3,0.1,1,0.0,2,0.1,50.0,75.0,0.0%,0.0%,0.0%,0.0%,50.0%,
Darius Miller,NOP,28,7,0.3,4.0%,1.57,11,0.4,4,0.1,7,0.3,57.1,78.6,0.0%,0.0%,0.0%,0.0%,57.1%,
Kentavious Caldwell-Pope,LAL,24,26,1.1,7.4%,0.77,20,0.8,7,0.3,21,0.9,33.3,38.1,11.5%,7.7%,11.5%,0.0%,34.6%,35.9
Anthony Davis,NOP,23,6,0.3,1.2%,1.00,6,0.3,2,0.1,4,0.2,50.0,50.0,16.7%,16.7%,16.7%,0.0%,50.0%,
Ian Clark,NOP,24,6,0.3,4.5%,1.17,7,0.3,3,0.1,5,0.2,60.0,70.0,0.0%,16.7%,0.0%,0.0%,50.0%,
Ersan Ilyasova,ATL,16,4,0.3,2.9%,0.00,0,0.0,0,0.0,4,0.3,0.0,0.0,0.0%,0.0%,0.0%,0.0%,0.0%,
Trevor Booker,BKN,18,2,0.1,1.0%,0.00,0,0.0,0,0.0,1,0.1,0.0,0.0,0.0%,50.0%,0.0%,0.0%,0.0%,
Jeff Teague,MIN,24,10,0.4,2.7%,1.50,15,0.6,5,0.2,6,0.3,83.3,100.0,20.0%,30.0%,20.0%,10.0%,60.0%,97.7
Lonzo Ball,LAL,26,12,0.5,3.3%,0.75,9,0.3,3,0.1,12,0.5,25.0,37.5,0.0%,0.0%,0.0%,0.0%,25.0%,32.6
Emmanuel Mudiay,DEN,27,16,0.6,5.0%,0.94,15,0.6,5,0.2,13,0.5,38.5,42.3,12.5%,6.3%,12.5%,0.0%,43.8%,60.0
Jonathon Simmons,ORL,28,27,1.0,6.3%,0.89,24,0.9,9,0.3,20,0.7,45.0,47.5,14.8%,14.8%,14.8%,3.7%,44.4%,55.0
Dejounte Murray,SAS,28,3,0.1,1.3%,1.33,4,0.1,1,0.0,2,0.1,50.0,50.0,33.3%,0.0%,33.3%,0.0%,66.7%,
DeMar DeRozan,TOR,25,13,0.5,2.3%,0.85,11,0.4,5,0.2,9,0.4,55.6,55.6,7.7%,23.1%,7.7%,0.0%,46.2%,47.7
