Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Stephen Curry,GSW,23,141,6.1,26.6%,1.12,158,6.9,50,2.2,105,4.6,47.6,58.1,13.5%,12.8%,9.2%,0.7%,48.2%,93.4
Dwyane Wade,CLE,26,92,3.5,27.1%,0.89,82,3.2,33,1.3,68,2.6,48.5,52.9,10.9%,18.5%,10.9%,3.3%,42.4%,68.5
JR Smith,CLE,27,24,0.9,10.0%,0.79,19,0.7,8,0.3,16,0.6,50.0,53.1,12.5%,25.0%,4.2%,4.2%,41.7%,46.9
Jayson Tatum,BOS,29,26,0.9,7.5%,1.27,33,1.1,11,0.4,19,0.7,57.9,63.2,19.2%,11.5%,15.4%,3.8%,57.7%,97.0
Iman Shumpert,CLE,13,17,1.3,21.8%,0.41,7,0.5,2,0.2,10,0.8,20.0,25.0,5.9%,35.3%,5.9%,0.0%,17.6%,5.1
Terry Rozier III,BOS,29,72,2.5,25.3%,0.79,57,2.0,24,0.8,65,2.2,36.9,42.3,2.8%,6.9%,2.8%,0.0%,34.7%,46.9
Klay Thompson,GSW,28,38,1.4,7.4%,0.79,30,1.1,14,0.5,29,1.0,48.3,51.7,0.0%,23.7%,0.0%,0.0%,36.8%,46.2
Kyrie Irving,BOS,27,173,6.4,29.7%,1.03,179,6.6,68,2.5,139,5.1,48.9,54.0,9.8%,12.7%,9.2%,2.9%,46.2%,88.8
Trevor Ariza,HOU,23,7,0.3,3.0%,1.14,8,0.3,3,0.1,7,0.3,42.9,57.1,0.0%,0.0%,0.0%,0.0%,42.9%,
Draymond Green,GSW,25,10,0.4,3.4%,0.50,5,0.2,2,0.1,9,0.4,22.2,22.2,10.0%,0.0%,10.0%,0.0%,30.0%,8.2
Patrick McCaw,GSW,23,13,0.6,15.7%,0.38,5,0.2,1,0.0,9,0.4,11.1,11.1,15.4%,15.4%,15.4%,0.0%,23.1%,2.5
Shaun Livingston,GSW,25,13,0.5,9.4%,0.31,4,0.2,1,0.0,9,0.4,11.1,11.1,7.7%,23.1%,7.7%,0.0%,15.4%,1.0
Kevin Durant,GSW,23,82,3.6,15.0%,0.99,81,3.5,31,1.3,66,2.9,47.0,51.5,9.8%,13.4%,9.8%,3.7%,43.9%,82.2
LeBron James,CLE,27,120,4.4,17.5%,1.10,132,4.9,45,1.7,84,3.1,53.6,61.9,17.5%,17.5%,15.0%,5.0%,50.0%,92.4
Chris Paul,HOU,11,79,7.2,49.7%,0.92,73,6.6,27,2.5,57,5.2,47.4,54.4,7.6%,20.3%,3.8%,0.0%,41.8%,72.6
Marcus Smart,BOS,27,98,3.6,27.4%,0.67,66,2.4,23,0.9,72,2.7,31.9,35.4,9.2%,18.4%,7.1%,1.0%,31.6%,25.4
