Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Blake Griffin,LAC,19,49,2.6,10.4%,1.24,61,3.2,17,0.9,25,1.3,68.0,74.0,30.6%,18.4%,26.5%,0.0%,61.2%,75.2
Brook Lopez,LAL,26,32,1.2,8.8%,0.66,21,0.8,7,0.3,25,1.0,28.0,30.0,9.4%,12.5%,3.1%,0.0%,31.3%,5.6
Jordan  Clarkson,LAL,26,60,2.3,15.7%,1.05,63,2.4,26,1.0,47,1.8,55.3,62.8,8.3%,18.3%,6.7%,5.0%,45.0%,51.0
Jonas Valanciunas,TOR,21,7,0.3,3.4%,1.29,9,0.4,3,0.1,6,0.3,50.0,50.0,28.6%,0.0%,28.6%,14.3%,57.1%,
Ramon Sessions,NYK,10,5,0.5,7.2%,0.40,2,0.2,1,0.1,4,0.4,25.0,25.0,0.0%,20.0%,0.0%,0.0%,20.0%,
Alex Abrines,OKC,24,24,1.0,19.4%,1.46,35,1.5,14,0.6,22,0.9,63.6,77.3,4.2%,4.2%,4.2%,0.0%,62.5%,94.1
Ron Baker,NYK,9,3,0.3,8.3%,0.33,1,0.1,0,0.0,0,0.0,0.0,0.0,33.3%,66.7%,0.0%,0.0%,33.3%,
Jerami Grant,OKC,25,20,0.8,10.3%,1.35,27,1.1,10,0.4,16,0.6,62.5,65.6,20.0%,5.0%,20.0%,5.0%,65.0%,86.6
Austin Rivers,LAC,25,32,1.3,7.9%,1.00,32,1.3,11,0.4,24,1.0,45.8,52.1,12.5%,12.5%,9.4%,0.0%,46.9%,37.8
DeMar DeRozan,TOR,25,52,2.1,9.1%,1.37,71,2.8,29,1.2,40,1.6,72.5,73.8,17.3%,13.5%,15.4%,7.7%,65.4%,88.6
Kay Felder,CHI,13,12,0.9,14.0%,0.75,9,0.7,3,0.2,10,0.8,30.0,35.0,8.3%,8.3%,0.0%,0.0%,33.3%,10.0
Lonzo Ball,LAL,26,79,3.0,21.9%,0.62,49,1.9,19,0.7,54,2.1,35.2,38.0,7.6%,25.3%,6.3%,1.3%,29.1%,4.9
Victor Oladipo,IND,26,143,5.5,23.2%,1.12,160,6.2,61,2.3,103,4.0,59.2,66.0,13.3%,16.8%,12.6%,2.1%,52.4%,60.1
Giannis Antetokounmpo,MIL,24,142,5.9,21.7%,1.30,185,7.7,63,2.6,93,3.9,67.7,67.7,32.4%,9.9%,31.7%,9.2%,66.2%,82.7
Aaron Gordon,ORL,25,90,3.6,21.6%,0.97,87,3.5,31,1.2,69,2.8,44.9,52.9,12.2%,13.3%,8.9%,2.2%,42.2%,31.0
