Player,Team,GP,Poss,Poss,Freq,PPP,PTS,PTS,FGM,FGM,FGA,FGA,FG%,eFG%,FTFreq,TOFreq,SFFreq,And OneFreq,ScoreFreq,Percentile
Karl-Anthony Towns,MIN,35,128,3.7,19.7%,1.20,153,4.4,56,1.6,101,2.9,55.4,60.9,16.4%,8.6%,16.4%,3.9%,55.5%,66.9
Nikola Jokic,DEN,28,105,3.8,24.1%,0.96,101,3.6,42,1.5,91,3.3,46.2,51.1,5.7%,9.5%,5.7%,1.9%,43.8%,29.1
Robert Covington,PHI,31,9,0.3,2.0%,0.89,8,0.3,2,0.1,8,0.3,25.0,37.5,11.1%,0.0%,11.1%,0.0%,33.3%,
Khris Middleton,MIL,32,17,0.5,2.6%,1.94,33,1.0,13,0.4,16,0.5,81.3,100.0,5.9%,5.9%,5.9%,5.9%,76.5%,99.3
Alec Burks,UTA,35,1,0.0,0.3%,3.00,3,0.1,1,0.0,1,0.0,100.0,150.0,0.0%,0.0%,0.0%,0.0%,100.0%,
DeMarre Carroll,BKN,31,4,0.1,1.0%,1.00,4,0.1,1,0.0,2,0.1,50.0,75.0,25.0%,25.0%,25.0%,0.0%,50.0%,
Mike Scott,WAS,32,46,1.4,17.0%,1.11,51,1.6,22,0.7,39,1.2,56.4,65.4,2.2%,15.2%,2.2%,2.2%,47.8%,57.0
Dwight  Powell,DAL,35,66,1.9,30.6%,1.26,83,2.4,38,1.1,58,1.7,65.5,67.2,9.1%,7.6%,9.1%,4.5%,62.1%,79.5
Willie Cauley-Stein,SAC,31,64,2.1,17.5%,1.02,65,2.1,29,0.9,56,1.8,51.8,51.8,9.4%,4.7%,7.8%,1.6%,51.6%,40.4
Anthony Davis,NOP,29,97,3.3,15.5%,1.14,111,3.8,42,1.4,78,2.7,53.8,56.4,14.4%,7.2%,14.4%,2.1%,55.7%,61.6
DeMarcus Cousins,NOP,34,88,2.6,9.6%,1.16,102,3.0,36,1.1,72,2.1,50.0,61.8,12.5%,9.1%,12.5%,3.4%,50.0%,63.6
Paul Millsap,DEN,16,27,1.7,10.3%,0.81,22,1.4,10,0.6,24,1.5,41.7,45.8,0.0%,11.1%,0.0%,0.0%,37.0%,14.0
Bismack Biyombo,ORL,35,51,1.5,29.7%,0.80,41,1.2,14,0.4,35,1.0,40.0,40.0,19.6%,15.7%,19.6%,3.9%,43.1%,13.2
