,PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,FGM,FGA,FGM PG,FGA PG,FG%,GP RANK,W RANK,L RANK,MIN RANK,OFFRTG RANK,DEFRTG RANK,NETRTG RANK,AST% RANK,AST/TO RANK,AST Ratio RANK,OREB% RANK,DREB% RANK,REB% RANK,TO Ratio RANK,eFG% RANK,TS% RANK,USG% RANK,PACE RANK,PIE RANK,FGM RANK,FGA RANK,FGM PG RANK,FGA PG RANK,FG% RANK
,Guerschon Yabusele,BOS,21,9,8,1,5.1,99.3,113.6,-14.3,16.7,1.33,16.8,16.0,17.9,16.9,12.6,46.9,50.4,18.5,95.90,8.4
,Jaylen Brown,BOS,21,27,21,6,31.3,106.3,97.9,8.4,6.4,0.76,7.8,4.0,15.9,10.2,10.4,53.8,55.5,21.1,98.57,9.2
,Jayson Tatum,BOS,19,29,23,6,30.6,105.4,99.0,6.4,6.6,1.06,9.7,3.0,16.9,10.2,9.1,58.9,64.3,17.6,98.03,12.2
,Daniel Theis,BOS,25,27,22,5,12.4,101.2,102.5,-1.3,7.5,0.44,9.5,11.6,24.1,17.7,21.6,53.9,57.9,18.0,96.85,9.3
,Aron Baynes,BOS,31,29,23,6,17.7,100.7,91.9,8.8,7.8,0.81,11.7,11.4,20.5,16.0,14.5,49.3,52.8,16.4,96.97,9.5
,Kyrie Irving,BOS,25,27,22,5,32.0,108.0,101.0,7.0,27.6,2.11,17.9,1.9,8.4,5.3,8.4,55.6,60.1,30.6,98.68,15.9
,Abdel Nader,BOS,24,13,11,2,7.7,95.4,128.5,-33.2,6.3,0.67,10.4,2.4,11.1,6.6,15.6,42.9,42.2,15.3,97.80,2.4
,Shane Larkin,BOS,25,20,17,3,10.4,97.3,96.7,0.5,22.5,5.00,24.0,1.5,9.2,5.2,4.8,35.8,41.2,17.0,94.21,5.9
,Julyan Stone,CHA,29,2,1,1,9.1,63.3,96.3,-33.0,28.6,1.00,25.0,0.0,25.0,13.5,25.0,75.0,75.0,13.7,110.58,12.8
,Michael Carter-Williams,CHA,26,15,5,10,17.3,94.3,106.5,-12.2,23.7,1.68,24.9,5.0,14.7,9.3,14.8,30.4,41.2,18.7,99.60,5.8
,Marcus Paige,CHA,24,1,1,0,2.9,0.0,116.7,-116.7,0.0,0.00,0.0,0.0,66.7,22.2,0.0,0.0,0.0,28.6,90.51,0.0
