TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
"
DET

",02/26/2011,DET vs. UTA,W,240,120,43,86,50.0,11,17,64.7,23,31,74.2,15,26,41,22,11,1,10,30,4
"
DET

",02/25/2011,DET @ PHI,L,240,94,37,78,47.4,4,11,36.4,16,22,72.7,6,26,32,19,8,2,14,16,-16
"
DET

",02/23/2011,DET @ IND,L,239,101,40,82,48.8,7,14,50.0,14,21,66.7,15,28,43,21,6,5,16,19,-1
"
DET

",02/22/2011,DET vs. HOU,L,241,100,41,93,44.1,4,14,28.6,14,15,93.3,17,26,43,19,5,4,8,16,-8
"
DET

",02/16/2011,DET vs. IND,W,264,115,50,97,51.5,2,9,22.2,13,19,68.4,17,28,45,26,8,6,8,15,6
"
DET

",02/14/2011,DET vs. ATL,L,241,79,27,70,38.6,10,19,52.6,15,19,78.9,10,16,26,20,9,2,11,14,-15
"
DET

",02/13/2011,DET vs. POR,L,242,100,35,68,51.5,6,10,60.0,24,30,80.0,9,23,32,23,11,2,18,21,-5
"
DET

",02/11/2011,DET vs. MIA,L,238,92,34,80,42.5,8,24,33.3,16,19,84.2,12,23,35,20,10,5,13,21,-14
"
DET

",02/09/2011,DET @ CLE,W,240,103,39,90,43.3,9,19,47.4,16,22,72.7,17,27,44,27,10,3,10,21,9
"
DET

",02/08/2011,DET vs. SAS,L,239,89,36,83,43.4,3,11,27.3,14,19,73.7,9,26,35,14,8,2,6,15,-11
"
DET

",02/05/2011,DET @ MIL,W,239,89,35,68,51.5,2,8,25.0,17,24,70.8,5,33,38,18,3,1,15,18,11
"
DET

",02/04/2011,DET vs. NJN,W,241,92,40,83,48.2,3,10,30.0,9,18,50.0,14,26,40,18,6,7,7,15,10
"
DET

",02/02/2011,DET vs. CHA,L,239,87,34,78,43.6,7,19,36.8,12,17,70.6,6,24,30,23,7,8,10,21,-10
"
DET

",01/30/2011,DET @ NYK,L,239,106,40,79,50.6,12,22,54.5,14,21,66.7,11,21,32,19,5,1,14,24,-18
"
DET

",01/28/2011,DET @ MIA,L,239,87,35,92,38.0,8,24,33.3,9,11,81.8,17,26,43,22,5,6,6,18,-1
"
DET

",01/26/2011,DET vs. DEN,L,238,100,35,79,44.3,5,15,33.3,25,32,78.1,13,30,43,19,4,6,8,28,-9
"
DET

",01/24/2011,DET @ ORL,W,240,103,37,81,45.7,7,14,50.0,22,33,66.7,10,29,39,17,9,2,6,23,7
"
DET

",01/22/2011,DET vs. PHX,W,239,75,29,81,35.8,3,10,30.0,14,17,82.4,13,33,46,16,10,2,8,13,1
"
DET

",01/21/2011,DET @ NJN,L,239,74,25,75,33.3,4,12,33.3,20,29,69.0,12,23,35,12,5,3,11,18,-15
"
DET

",01/19/2011,DET @ BOS,L,240,82,31,74,41.9,4,15,26.7,16,22,72.7,5,29,34,19,9,6,13,24,-4
"
DET

",01/17/2011,DET vs. DAL,W,240,103,42,73,57.5,4,12,33.3,15,19,78.9,9,24,33,24,6,2,10,16,14
"
DET

",01/15/2011,DET vs. SAC,W,240,110,43,77,55.8,2,8,25.0,22,29,75.9,7,23,30,20,10,3,10,19,4
"
DET

",01/14/2011,DET @ TOR,W,242,101,37,83,44.6,6,13,46.2,21,28,75.0,15,29,44,16,8,4,8,17,6
"
DET

",01/12/2011,DET vs. MEM,L,238,99,36,82,43.9,6,21,28.6,21,26,80.8,14,23,37,22,6,4,15,25,-8
"
DET

",01/10/2011,DET @ CHI,L,241,82,31,80,38.8,5,18,27.8,15,22,68.2,15,28,43,19,8,4,14,20,-13
"
DET

",01/08/2011,DET vs. PHI,W,265,112,41,92,44.6,8,15,53.3,22,34,64.7,15,38,53,24,8,6,11,23,3
"
DET

",01/04/2011,DET @ LAL,L,240,83,32,72,44.4,3,13,23.1,16,24,66.7,10,27,37,22,4,2,16,19,-25
"
DET

",01/03/2011,DET @ UTA,L,238,97,37,81,45.7,7,21,33.3,16,21,76.2,9,30,39,24,3,3,7,23,-5
"
DET

",12/31/2010,DET @ PHX,L,240,75,31,76,40.8,5,20,25.0,8,18,44.4,13,27,40,18,11,4,14,19,-17
"
DET

",12/29/2010,DET vs. BOS,W,240,104,39,70,55.7,10,15,66.7,16,21,76.2,5,24,29,27,11,4,14,18,12
"
DET

",12/27/2010,DET @ CHA,L,240,100,38,87,43.7,11,19,57.9,13,16,81.3,10,22,32,22,13,5,13,16,-5
"
DET

",12/26/2010,DET vs. CHI,L,265,92,38,89,42.7,3,13,23.1,13,16,81.3,11,28,39,19,4,8,9,23,-3
"
DET

",12/22/2010,DET @ TOR,W,240,115,46,90,51.1,8,23,34.8,15,19,78.9,8,26,34,27,13,4,8,18,22
"
DET

",12/19/2010,DET vs. NOH,W,265,111,44,83,53.0,10,23,43.5,13,23,56.5,7,30,37,26,8,7,17,23,3
"
DET

",12/17/2010,DET vs. LAC,L,240,88,33,82,40.2,4,14,28.6,18,27,66.7,14,21,35,19,6,4,14,15,-21
