PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Avery Bradley,DET,12/08/2017,DET vs. GSW,L,31,25,9,17,52.9,4,7,57.1,3,4,75.0,2,2,4,0,0,0,1,1,-4
Andre Drummond,DET,12/06/2017,DET @ MIL,L,37,27,12,16,75.0,0,0,-,3,8,37.5,7,13,20,6,0,0,1,5,9
Anthony Tolliver,DET,12/06/2017,DET @ MIL,L,20,3,1,8,12.5,1,5,20.0,0,0,-,0,2,2,1,0,0,1,3,-14
Tobias Harris,DET,12/06/2017,DET @ MIL,L,39,21,8,14,57.1,4,9,44.4,1,1,100.0,1,4,5,0,3,0,2,1,-1
Luke Kennard,DET,12/06/2017,DET @ MIL,L,18,6,2,7,28.6,1,3,33.3,1,2,50.0,0,0,0,2,0,0,1,0,-16
Reggie Jackson,DET,12/06/2017,DET @ MIL,L,32,14,5,14,35.7,1,4,25.0,3,4,75.0,3,2,5,4,0,0,2,2,10
Eric Moreland,DET,12/06/2017,DET @ MIL,L,11,3,1,2,50.0,0,0,-,1,2,50.0,5,1,6,0,0,0,3,3,-13
Stanley Johnson,DET,12/06/2017,DET @ MIL,L,34,2,0,8,0.0,0,4,0.0,2,2,100.0,1,6,7,5,1,0,0,5,4
Avery Bradley,DET,12/06/2017,DET @ MIL,L,33,20,5,13,38.5,3,5,60.0,7,8,87.5,0,1,1,2,1,0,1,0,15
Ish Smith,DET,12/06/2017,DET @ MIL,L,16,4,2,5,40.0,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-14
Stanley Johnson,DET,12/04/2017,DET @ SAS,L,30,14,4,10,40.0,1,3,33.3,5,7,71.4,0,10,10,1,2,0,0,4,-6
Tobias Harris,DET,12/04/2017,DET @ SAS,L,40,15,6,15,40.0,3,7,42.9,0,0,-,0,5,5,1,1,0,0,5,-4
Henry Ellenson,DET,12/04/2017,DET @ SAS,L,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0
Avery Bradley,DET,12/04/2017,DET @ SAS,L,33,3,1,9,11.1,0,4,0.0,1,1,100.0,0,1,1,4,0,0,2,3,10
Reggie Jackson,DET,12/04/2017,DET @ SAS,L,34,27,12,21,57.1,2,4,50.0,1,4,25.0,0,4,4,3,1,0,3,1,5
Anthony Tolliver,DET,12/04/2017,DET @ SAS,L,24,5,1,4,25.0,1,4,25.0,2,2,100.0,0,3,3,1,0,0,1,3,2
Luke Kennard,DET,12/04/2017,DET @ SAS,L,8,3,1,3,33.3,1,2,50.0,0,0,-,0,0,0,0,0,0,0,0,-6
Langston Galloway,DET,12/04/2017,DET @ SAS,L,9,2,1,4,25.0,0,3,0.0,0,0,-,1,1,2,0,0,0,0,0,-5
Ish Smith,DET,12/04/2017,DET @ SAS,L,14,11,4,10,40.0,0,0,-,3,4,75.0,0,1,1,2,1,0,2,1,-8
Eric Moreland,DET,12/04/2017,DET @ SAS,L,16,2,1,1,100.0,0,0,-,0,0,-,1,0,1,1,0,1,0,2,-10
Andre Drummond,DET,12/04/2017,DET @ SAS,L,32,11,4,8,50.0,0,0,-,3,6,50.0,5,10,15,2,3,1,2,3,7
Ish Smith,DET,12/02/2017,DET @ PHI,L,19,0,0,4,0.0,0,1,0.0,0,0,-,0,2,2,4,1,1,1,0,-2
Andre Drummond,DET,12/02/2017,DET @ PHI,L,35,14,4,8,50.0,0,1,0.0,6,8,75.0,1,10,11,6,5,1,1,6,8
Luke Kennard,DET,12/02/2017,DET @ PHI,L,21,9,3,6,50.0,1,2,50.0,2,2,100.0,0,1,1,2,1,0,2,1,-5
Langston Galloway,DET,12/02/2017,DET @ PHI,L,10,6,2,8,25.0,2,7,28.6,0,0,-,1,1,2,0,0,0,0,2,10
Eric Moreland,DET,12/02/2017,DET @ PHI,L,8,1,0,0,-,0,0,-,1,2,50.0,1,0,1,0,0,0,0,2,-8
Stanley Johnson,DET,12/02/2017,DET @ PHI,L,36,9,2,8,25.0,1,5,20.0,4,5,80.0,1,3,4,1,0,0,0,3,-9
Reggie Jackson,DET,12/02/2017,DET @ PHI,L,29,25,9,13,69.2,2,3,66.7,5,6,83.3,1,2,3,4,0,0,4,2,-3
Anthony Tolliver,DET,12/02/2017,DET @ PHI,L,13,0,0,2,0.0,0,2,0.0,0,0,-,0,1,1,0,0,0,1,1,-2
Tobias Harris,DET,12/02/2017,DET @ PHI,L,35,27,9,15,60.0,3,6,50.0,6,7,85.7,1,6,7,1,1,0,3,3,-3
Avery Bradley,DET,12/02/2017,DET @ PHI,L,30,6,3,11,27.3,0,4,0.0,0,0,-,0,2,2,2,0,0,2,5,-6
Boban Marjanovic,DET,12/02/2017,DET @ PHI,L,5,6,2,3,66.7,0,0,-,2,2,100.0,1,1,2,0,0,0,2,2,-5
Langston Galloway,DET,12/01/2017,DET @ WAS,L,12,0,0,5,0.0,0,3,0.0,0,0,-,0,0,0,1,0,0,0,2,-11
Avery Bradley,DET,12/01/2017,DET @ WAS,L,34,13,5,13,38.5,1,5,20.0,2,2,100.0,0,0,0,2,4,1,2,2,-10
Henry Ellenson,DET,12/01/2017,DET @ WAS,L,3,0,0,1,0.0,0,0,-,0,0,-,0,2,2,0,0,0,0,1,-1
Boban Marjanovic,DET,12/01/2017,DET @ WAS,L,6,5,2,3,66.7,0,0,-,1,3,33.3,1,0,1,0,1,0,2,0,0
Ish Smith,DET,12/01/2017,DET @ WAS,L,22,8,4,8,50.0,0,1,0.0,0,3,0.0,0,2,2,4,0,0,0,0,-14
Anthony Tolliver,DET,12/01/2017,DET @ WAS,L,25,9,3,5,60.0,3,5,60.0,0,0,-,0,5,5,0,0,0,0,1,-12
Eric Moreland,DET,12/01/2017,DET @ WAS,L,5,0,0,1,0.0,0,0,-,0,0,-,0,1,1,0,0,0,1,0,-7
Reggie Jackson,DET,12/01/2017,DET @ WAS,L,26,12,5,12,41.7,0,4,0.0,2,3,66.7,0,0,0,4,0,0,3,3,-4
Luke Kennard,DET,12/01/2017,DET @ WAS,L,18,10,3,5,60.0,2,4,50.0,2,2,100.0,0,0,0,0,0,0,1,1,-3
Andre Drummond,DET,12/01/2017,DET @ WAS,L,37,14,5,10,50.0,0,1,0.0,4,5,80.0,3,14,17,7,1,4,3,5,-11
Tobias Harris,DET,12/01/2017,DET @ WAS,L,27,15,6,11,54.5,2,5,40.0,1,1,100.0,0,2,2,1,0,0,0,2,-5
Stanley Johnson,DET,12/01/2017,DET @ WAS,L,24,5,2,5,40.0,1,2,50.0,0,0,-,0,2,2,1,1,0,3,4,-12
Eric Moreland,DET,11/29/2017,DET vs. PHX,W,15,4,1,2,50.0,0,0,-,2,2,100.0,2,4,6,3,0,2,1,3,16
Reggie Bullock,DET,11/29/2017,DET vs. PHX,W,5,0,0,1,0.0,0,1,0.0,0,0,-,0,1,1,0,0,0,0,0,-10
Langston Galloway,DET,11/29/2017,DET vs. PHX,W,20,9,3,8,37.5,3,7,42.9,0,0,-,0,4,4,1,0,1,1,2,9
Luke Kennard,DET,11/29/2017,DET vs. PHX,W,26,12,4,8,50.0,2,2,100.0,2,2,100.0,0,2,2,6,2,0,2,3,3
Stanley Johnson,DET,11/29/2017,DET vs. PHX,W,22,4,2,4,50.0,0,0,-,0,0,-,0,3,3,0,3,0,2,0,21
Tobias Harris,DET,11/29/2017,DET vs. PHX,W,27,20,8,14,57.1,2,6,33.3,2,3,66.7,0,7,7,1,0,0,0,1,23
Ish Smith,DET,11/29/2017,DET vs. PHX,W,21,14,6,10,60.0,0,0,-,2,3,66.7,0,3,3,6,0,1,1,0,25
Andre Drummond,DET,11/29/2017,DET vs. PHX,W,28,13,5,8,62.5,0,0,-,3,3,100.0,2,5,7,7,1,1,2,2,18
Avery Bradley,DET,11/29/2017,DET vs. PHX,W,28,20,9,12,75.0,2,3,66.7,0,0,-,0,0,0,1,2,0,1,3,15
Henry Ellenson,DET,11/29/2017,DET vs. PHX,W,5,2,1,2,50.0,0,1,0.0,0,0,-,0,4,4,1,0,0,1,0,-10
Boban Marjanovic,DET,11/29/2017,DET vs. PHX,W,5,4,1,2,50.0,0,0,-,2,4,50.0,1,0,1,0,0,0,2,4,-10
Anthony Tolliver,DET,11/29/2017,DET vs. PHX,W,16,6,2,5,40.0,2,4,50.0,0,0,-,0,5,5,0,1,1,2,1,11
Reggie Jackson,DET,11/29/2017,DET vs. PHX,W,22,23,9,13,69.2,2,4,50.0,3,4,75.0,0,1,1,5,2,0,4,3,9
Langston Galloway,DET,11/27/2017,DET @ BOS,W,5,2,1,3,33.3,0,2,0.0,0,0,-,0,0,0,0,1,0,0,0,-8
Eric Moreland,DET,11/27/2017,DET @ BOS,W,8,0,0,0,-,0,0,-,0,0,-,2,2,4,2,0,0,0,2,-3
Stanley Johnson,DET,11/27/2017,DET @ BOS,W,35,7,3,11,27.3,1,5,20.0,0,0,-,0,3,3,2,0,1,1,4,12
Reggie Jackson,DET,11/27/2017,DET @ BOS,W,28,20,7,10,70.0,2,4,50.0,4,4,100.0,0,0,0,7,0,1,1,3,11
Ish Smith,DET,11/27/2017,DET @ BOS,W,20,8,3,8,37.5,0,0,-,2,2,100.0,0,1,1,3,0,0,0,1,-1
Andre Drummond,DET,11/27/2017,DET @ BOS,W,40,26,10,12,83.3,0,0,-,6,8,75.0,2,20,22,6,4,0,3,2,13
Avery Bradley,DET,11/27/2017,DET @ BOS,W,38,13,5,14,35.7,2,3,66.7,1,2,50.0,0,0,0,5,2,0,2,4,14
Anthony Tolliver,DET,11/27/2017,DET @ BOS,W,15,4,1,3,33.3,0,1,0.0,2,3,66.7,1,0,1,1,1,0,0,1,-2
Luke Kennard,DET,11/27/2017,DET @ BOS,W,17,7,3,8,37.5,1,4,25.0,0,0,-,0,1,1,0,0,0,1,0,3
Tobias Harris,DET,11/27/2017,DET @ BOS,W,35,31,11,16,68.8,5,6,83.3,4,4,100.0,3,5,8,0,0,0,0,2,11
Tobias Harris,DET,11/24/2017,DET @ OKC,W,34,13,6,15,40.0,1,6,16.7,0,0,-,3,4,7,3,1,0,1,1,2
Luke Kennard,DET,11/24/2017,DET @ OKC,W,15,3,1,5,20.0,1,3,33.3,0,0,-,0,1,1,2,1,0,0,1,7
Eric Moreland,DET,11/24/2017,DET @ OKC,W,10,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,2,2,-1
Langston Galloway,DET,11/24/2017,DET @ OKC,W,16,9,3,4,75.0,3,4,75.0,0,0,-,0,3,3,1,0,0,0,1,5
Anthony Tolliver,DET,11/24/2017,DET @ OKC,W,18,8,3,7,42.9,2,6,33.3,0,0,-,0,3,3,0,1,0,0,0,-2
Avery Bradley,DET,11/24/2017,DET @ OKC,W,31,11,4,13,30.8,1,6,16.7,2,2,100.0,0,3,3,3,1,0,5,2,-6
Andre Drummond,DET,11/24/2017,DET @ OKC,W,38,17,8,14,57.1,0,0,-,1,3,33.3,4,10,14,3,0,2,6,4,2
Reggie Jackson,DET,11/24/2017,DET @ OKC,W,26,12,3,9,33.3,2,6,33.3,4,4,100.0,0,3,3,4,1,0,3,2,0
Ish Smith,DET,11/24/2017,DET @ OKC,W,22,15,7,11,63.6,1,1,100.0,0,0,-,0,3,3,4,0,2,0,1,1
Stanley Johnson,DET,11/24/2017,DET @ OKC,W,30,11,4,6,66.7,3,5,60.0,0,0,-,1,4,5,2,1,1,3,3,-3
Luke Kennard,DET,11/20/2017,DET vs. CLE,L,17,5,2,8,25.0,1,3,33.3,0,0,-,0,3,3,0,1,0,1,1,5
Langston Galloway,DET,11/20/2017,DET vs. CLE,L,21,8,3,8,37.5,2,5,40.0,0,0,-,0,1,1,2,0,0,0,0,-7
Stanley Johnson,DET,11/20/2017,DET vs. CLE,L,28,10,4,7,57.1,1,3,33.3,1,2,50.0,0,3,3,0,1,0,2,3,-29
Eric Moreland,DET,11/20/2017,DET vs. CLE,L,21,6,3,4,75.0,0,0,-,0,0,-,3,4,7,1,0,2,1,3,-4
Henry Ellenson,DET,11/20/2017,DET vs. CLE,L,12,6,2,5,40.0,2,3,66.7,0,0,-,0,2,2,1,1,0,0,0,11
Avery Bradley,DET,11/20/2017,DET vs. CLE,L,27,9,4,9,44.4,1,5,20.0,0,0,-,0,2,2,3,0,0,2,2,-21
Ish Smith,DET,11/20/2017,DET vs. CLE,L,17,3,1,6,16.7,0,1,0.0,1,2,50.0,0,0,0,2,1,0,0,3,-17
Tobias Harris,DET,11/20/2017,DET vs. CLE,L,28,11,4,10,40.0,2,5,40.0,1,1,100.0,0,5,5,3,0,0,1,0,-27
