PLAYER,TEAM,DATE,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Brandon Jennings,DET,12/27/2013,DET @ ORL,L,31,21,7,16,43.8,1,4,25.0,6,7,85.7,2,2,4,8,1,0,2,2,-17
Kyle Singler,DET,12/27/2013,DET @ ORL,L,26,7,3,5,60.0,1,2,50.0,0,0,-,0,3,3,1,0,0,1,1,-10
Josh Smith,DET,12/27/2013,DET @ ORL,L,22,5,2,13,15.4,0,2,0.0,1,2,50.0,1,6,7,1,0,2,1,0,-11
Gigi Datome,DET,12/27/2013,DET @ ORL,L,21,2,1,6,16.7,0,1,0.0,0,0,-,0,4,4,1,0,0,2,1,-2
Rodney Stuckey,DET,12/27/2013,DET @ ORL,L,14,6,3,6,50.0,0,0,-,0,0,-,0,0,0,0,1,0,1,2,-5
Jonas Jerebko,DET,12/27/2013,DET @ ORL,L,13,8,3,5,60.0,1,1,100.0,1,2,50.0,2,3,5,1,1,0,2,0,4
Greg Monroe,DET,12/27/2013,DET @ ORL,L,21,6,3,9,33.3,0,0,-,0,2,0.0,3,3,6,0,1,0,1,2,-17
Will Bynum,DET,12/27/2013,DET @ ORL,L,20,18,8,13,61.5,1,3,33.3,1,1,100.0,0,2,2,2,1,0,3,3,-4
Kentavious Caldwell-Pope,DET,12/27/2013,DET @ ORL,L,24,0,0,2,0.0,0,2,0.0,0,0,-,0,0,0,0,1,1,0,4,-8
Josh Harrellson,DET,12/27/2013,DET @ ORL,L,24,9,4,8,50.0,1,3,33.3,0,0,-,3,3,6,1,0,1,0,2,5
Andre Drummond,DET,12/23/2013,DET @ CLE,W,34,14,7,10,70.0,0,0,-,0,2,0.0,5,6,11,0,0,1,0,3,19
Greg Monroe,DET,12/23/2013,DET @ CLE,W,31,11,5,10,50.0,0,0,-,1,2,50.0,4,7,11,1,0,0,3,5,3
Brandon Jennings,DET,12/23/2013,DET @ CLE,W,32,21,6,11,54.5,2,5,40.0,7,8,87.5,0,4,4,13,2,0,3,0,26
Kentavious Caldwell-Pope,DET,12/23/2013,DET @ CLE,W,17,4,1,6,16.7,1,3,33.3,1,2,50.0,0,0,0,1,1,0,0,4,-2
Rodney Stuckey,DET,12/23/2013,DET @ CLE,W,31,14,6,16,37.5,1,1,100.0,1,1,100.0,1,2,3,4,5,0,2,3,25
Josh Smith,DET,12/23/2013,DET @ CLE,W,31,25,10,18,55.6,2,5,40.0,3,3,100.0,2,6,8,3,1,2,3,2,19
Kyle Singler,DET,12/23/2013,DET @ CLE,W,27,10,4,9,44.4,2,2,100.0,0,0,-,2,6,8,1,0,1,1,1,23
Chauncey Billups,DET,12/23/2013,DET @ CLE,W,16,3,1,3,33.3,1,3,33.3,0,0,-,0,1,1,2,0,0,1,0,-3
Josh Harrellson,DET,12/23/2013,DET @ CLE,W,5,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,1,0,1,1
Gigi Datome,DET,12/23/2013,DET @ CLE,W,17,13,6,13,46.2,1,5,20.0,0,0,-,4,0,4,1,2,0,1,1,4
Charlie Villanueva,DET,12/21/2013,DET vs. HOU,L,5,6,2,5,40.0,0,1,0.0,2,3,66.7,0,0,0,0,0,1,0,1,-7
Gigi Datome,DET,12/21/2013,DET vs. HOU,L,13,9,4,5,80.0,1,1,100.0,0,0,-,2,1,3,1,0,0,0,0,-4
Kentavious Caldwell-Pope,DET,12/21/2013,DET vs. HOU,L,20,2,1,3,33.3,0,1,0.0,0,0,-,0,2,2,0,1,0,0,1,-16
Will Bynum,DET,12/21/2013,DET vs. HOU,L,23,11,5,12,41.7,0,1,0.0,1,1,100.0,0,4,4,3,0,0,1,2,-2
Josh Harrellson,DET,12/21/2013,DET vs. HOU,L,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-1
Jonas Jerebko,DET,12/21/2013,DET vs. HOU,L,3,0,0,0,-,0,0,-,0,0,-,0,1,1,0,1,0,0,0,2
Andre Drummond,DET,12/21/2013,DET vs. HOU,L,29,9,4,5,80.0,0,0,-,1,2,50.0,2,4,6,1,2,4,0,5,-17
Kyle Singler,DET,12/21/2013,DET vs. HOU,L,31,12,5,9,55.6,0,2,0.0,2,2,100.0,0,2,2,1,0,1,0,1,-1
Rodney Stuckey,DET,12/21/2013,DET vs. HOU,L,23,9,4,9,44.4,0,0,-,1,2,50.0,0,1,1,2,0,0,2,0,-24
Josh Smith,DET,12/21/2013,DET vs. HOU,L,29,19,8,20,40.0,0,2,0.0,3,7,42.9,3,3,6,3,3,2,3,3,-9
Greg Monroe,DET,12/21/2013,DET vs. HOU,L,26,10,5,10,50.0,0,0,-,0,0,-,4,7,11,1,0,0,1,2,-1
Brandon Jennings,DET,12/21/2013,DET vs. HOU,L,32,8,2,11,18.2,0,4,0.0,4,5,80.0,0,1,1,10,1,0,1,1,-7
Tony Mitchell,DET,12/21/2013,DET vs. HOU,L,3,2,0,0,-,0,0,-,2,4,50.0,0,0,0,0,0,0,0,0,2
Andre Drummond,DET,12/20/2013,DET vs. CHA,L,34,14,7,13,53.8,0,0,-,0,2,0.0,10,5,15,0,0,5,3,3,-21
Chauncey Billups,DET,12/20/2013,DET vs. CHA,L,13,3,1,4,25.0,1,3,33.3,0,0,-,0,1,1,3,0,0,3,1,-3
Josh Smith,DET,12/20/2013,DET vs. CHA,L,41,18,8,20,40.0,1,3,33.3,1,2,50.0,0,6,6,3,3,2,2,1,-1
Josh Harrellson,DET,12/20/2013,DET vs. CHA,L,18,12,5,9,55.6,2,3,66.7,0,0,-,3,1,4,1,0,2,1,3,11
Greg Monroe,DET,12/20/2013,DET vs. CHA,L,35,13,5,9,55.6,0,0,-,3,4,75.0,2,7,9,3,2,0,4,2,-9
Brandon Jennings,DET,12/20/2013,DET vs. CHA,L,37,26,10,20,50.0,3,7,42.9,3,5,60.0,0,1,1,5,1,1,0,2,-10
Kyle Singler,DET,12/20/2013,DET vs. CHA,L,26,10,3,7,42.9,3,4,75.0,1,2,50.0,3,3,6,1,0,0,1,2,-7
Will Bynum,DET,12/20/2013,DET vs. CHA,L,13,5,2,6,33.3,1,1,100.0,0,0,-,0,1,1,2,0,0,1,1,-3
Kentavious Caldwell-Pope,DET,12/20/2013,DET vs. CHA,L,22,5,1,2,50.0,1,2,50.0,2,2,100.0,0,1,1,0,1,0,2,2,-7
Josh Smith,DET,12/18/2013,DET @ BOS,W,33,20,8,18,44.4,1,4,25.0,3,3,100.0,0,4,4,3,4,1,0,1,-8
Kyle Singler,DET,12/18/2013,DET @ BOS,W,25,11,3,8,37.5,1,5,20.0,4,5,80.0,0,0,0,0,1,0,2,2,-6
Chauncey Billups,DET,12/18/2013,DET @ BOS,W,19,6,2,5,40.0,2,5,40.0,0,0,-,0,1,1,1,2,0,2,2,-1
Kentavious Caldwell-Pope,DET,12/18/2013,DET @ BOS,W,27,9,4,7,57.1,1,2,50.0,0,0,-,0,1,1,0,2,0,0,4,-1
Jonas Jerebko,DET,12/18/2013,DET @ BOS,W,5,3,1,3,33.3,0,2,0.0,1,1,100.0,0,0,0,0,0,0,0,0,4
Josh Harrellson,DET,12/18/2013,DET @ BOS,W,12,2,1,2,50.0,0,1,0.0,0,0,-,1,1,2,1,2,0,0,1,-7
Andre Drummond,DET,12/18/2013,DET @ BOS,W,38,14,7,11,63.6,0,0,-,0,0,-,8,8,16,1,0,2,3,2,14
Will Bynum,DET,12/18/2013,DET @ BOS,W,5,2,1,1,100.0,0,0,-,0,0,-,0,0,0,0,1,0,2,1,-12
Brandon Jennings,DET,12/18/2013,DET @ BOS,W,40,28,9,21,42.9,5,8,62.5,5,6,83.3,1,3,4,14,1,0,4,1,12
Greg Monroe,DET,12/18/2013,DET @ BOS,W,34,12,5,12,41.7,0,0,-,2,5,40.0,3,5,8,2,1,1,3,4,10
Jonas Jerebko,DET,12/16/2013,DET @ IND,W,1,3,1,1,100.0,1,1,100.0,0,0,-,0,0,0,0,0,0,0,0,7
Kyle Singler,DET,12/16/2013,DET @ IND,W,26,4,1,3,33.3,0,1,0.0,2,2,100.0,1,6,7,1,0,1,0,4,3
Josh Harrellson,DET,12/16/2013,DET @ IND,W,16,7,3,6,50.0,1,2,50.0,0,0,-,5,5,10,1,0,2,1,0,4
Greg Monroe,DET,12/16/2013,DET @ IND,W,39,13,5,9,55.6,0,0,-,3,5,60.0,4,8,12,0,0,2,1,1,8
Will Bynum,DET,12/16/2013,DET @ IND,W,11,7,3,6,50.0,0,0,-,1,2,50.0,0,4,4,1,0,0,2,0,3
Kentavious Caldwell-Pope,DET,12/16/2013,DET @ IND,W,36,8,3,11,27.3,2,7,28.6,0,0,-,1,2,3,2,2,0,0,3,6
Brandon Jennings,DET,12/16/2013,DET @ IND,W,37,18,4,13,30.8,2,5,40.0,8,9,88.9,1,2,3,8,1,0,1,1,2
Josh Smith,DET,12/16/2013,DET @ IND,W,37,30,13,29,44.8,1,4,25.0,3,4,75.0,2,5,7,1,0,2,0,5,-2
Andre Drummond,DET,12/16/2013,DET @ IND,W,21,9,4,5,80.0,0,0,-,1,6,16.7,6,3,9,0,0,0,1,4,0
Rodney Stuckey,DET,12/16/2013,DET @ IND,W,16,2,1,5,20.0,0,0,-,0,0,-,0,0,0,0,0,0,2,2,-6
Josh Harrellson,DET,12/15/2013,DET vs. POR,L,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-4
Kentavious Caldwell-Pope,DET,12/15/2013,DET vs. POR,L,21,5,1,5,20.0,1,2,50.0,2,3,66.7,1,5,6,0,0,0,0,2,14
Chauncey Billups,DET,12/15/2013,DET vs. POR,L,17,6,2,6,33.3,0,3,0.0,2,2,100.0,1,3,4,4,0,0,1,0,16
Kyle Singler,DET,12/15/2013,DET vs. POR,L,14,5,2,3,66.7,1,2,50.0,0,0,-,2,1,3,0,0,0,2,4,-10
Josh Smith,DET,12/15/2013,DET vs. POR,L,46,31,13,17,76.5,0,2,0.0,5,6,83.3,2,5,7,4,1,1,1,4,0
Andre Drummond,DET,12/15/2013,DET vs. POR,L,44,13,6,15,40.0,0,1,0.0,1,5,20.0,6,8,14,0,3,3,2,5,7
Greg Monroe,DET,12/15/2013,DET vs. POR,L,39,17,7,14,50.0,0,0,-,3,4,75.0,4,3,7,1,1,1,4,4,-14
Rodney Stuckey,DET,12/15/2013,DET vs. POR,L,37,17,7,18,38.9,0,1,0.0,3,4,75.0,1,3,4,0,0,0,2,0,-12
Brandon Jennings,DET,12/15/2013,DET vs. POR,L,45,15,6,16,37.5,1,4,25.0,2,3,66.7,1,7,8,10,0,0,2,3,-7
Chauncey Billups,DET,12/13/2013,DET vs. BKN,W,13,0,0,1,0.0,0,1,0.0,0,0,-,0,1,1,5,0,0,1,0,1
Kentavious Caldwell-Pope,DET,12/13/2013,DET vs. BKN,W,19,6,2,4,50.0,2,3,66.7,0,0,-,0,3,3,2,0,0,0,1,-5
Rodney Stuckey,DET,12/13/2013,DET vs. BKN,W,29,17,7,13,53.8,0,0,-,3,5,60.0,0,2,2,3,1,0,1,2,9
Andre Drummond,DET,12/13/2013,DET vs. BKN,W,39,22,8,11,72.7,0,0,-,6,8,75.0,3,10,13,0,1,2,3,3,-1
Greg Monroe,DET,12/13/2013,DET vs. BKN,W,34,22,10,18,55.6,0,0,-,2,4,50.0,4,7,11,2,0,0,3,3,-4
Josh Smith,DET,12/13/2013,DET vs. BKN,W,35,10,3,13,23.1,0,1,0.0,4,6,66.7,2,4,6,6,0,1,3,4,1
Brandon Jennings,DET,12/13/2013,DET vs. BKN,W,35,8,3,14,21.4,0,3,0.0,2,3,66.7,0,3,3,4,0,0,1,4,3
Kyle Singler,DET,12/13/2013,DET vs. BKN,W,23,16,5,8,62.5,1,2,50.0,5,5,100.0,0,2,2,0,0,1,0,2,-2
Josh Harrellson,DET,12/13/2013,DET vs. BKN,W,11,2,1,1,100.0,0,0,-,0,0,-,0,2,2,1,0,0,1,2,18
Peyton Siva,DET,12/11/2013,DET @ NOP,L,7,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-3
Kyle Singler,DET,12/11/2013,DET @ NOP,L,29,8,1,5,20.0,0,3,0.0,6,8,75.0,1,1,2,2,1,3,2,3,-7
Josh Smith,DET,12/11/2013,DET @ NOP,L,32,11,5,15,33.3,1,3,33.3,0,2,0.0,3,2,5,3,1,2,1,4,-8
Josh Harrellson,DET,12/11/2013,DET @ NOP,L,12,2,0,1,0.0,0,1,0.0,2,2,100.0,1,1,2,0,0,0,0,1,0
Kentavious Caldwell-Pope,DET,12/11/2013,DET @ NOP,L,25,2,1,5,20.0,0,2,0.0,0,0,-,0,3,3,2,2,0,0,1,-8
Rodney Stuckey,DET,12/11/2013,DET @ NOP,L,33,20,7,16,43.8,0,2,0.0,6,6,100.0,0,4,4,4,0,0,2,1,9
Andre Drummond,DET,12/11/2013,DET @ NOP,L,35,10,5,9,55.6,0,0,-,0,0,-,4,7,11,0,0,1,1,3,-13
Greg Monroe,DET,12/11/2013,DET @ NOP,L,42,28,13,22,59.1,0,0,-,2,7,28.6,5,5,10,2,0,0,3,1,6
Brandon Jennings,DET,12/11/2013,DET @ NOP,L,46,25,10,23,43.5,4,10,40.0,1,2,50.0,1,4,5,4,6,0,4,3,-2
Jonas Jerebko,DET,12/11/2013,DET @ NOP,L,3,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,1,1
Gigi Datome,DET,12/10/2013,DET vs. MIN,L,6,0,0,6,0.0,0,2,0.0,0,0,-,1,1,2,0,0,0,0,1,-5
Josh Smith,DET,12/10/2013,DET vs. MIN,L,34,17,7,14,50.0,1,5,20.0,2,4,50.0,0,4,4,3,1,1,1,1,-18
Charlie Villanueva,DET,12/10/2013,DET vs. MIN,L,8,3,1,2,50.0,1,2,50.0,0,0,-,0,1,1,0,0,0,0,0,-9
Kentavious Caldwell-Pope,DET,12/10/2013,DET vs. MIN,L,33,16,7,14,50.0,2,6,33.3,0,0,-,1,3,4,0,0,1,2,3,-22
Greg Monroe,DET,12/10/2013,DET vs. MIN,L,20,10,5,7,71.4,0,0,-,0,0,-,0,2,2,3,1,0,2,3,-14
Josh Harrellson,DET,12/10/2013,DET vs. MIN,L,13,4,2,4,50.0,0,2,0.0,0,0,-,1,2,3,1,0,0,1,2,-6
Chauncey Billups,DET,12/10/2013,DET vs. MIN,L,18,7,2,7,28.6,1,3,33.3,2,2,100.0,0,0,0,5,0,0,0,3,-4
Brandon Jennings,DET,12/10/2013,DET vs. MIN,L,31,20,8,16,50.0,2,7,28.6,2,5,40.0,0,4,4,7,1,0,6,2,-19
Peyton Siva,DET,12/10/2013,DET vs. MIN,L,7,0,0,0,-,0,0,-,0,0,-,0,1,1,2,0,0,1,0,-6
Tony Mitchell,DET,12/10/2013,DET vs. MIN,L,10,4,1,1,100.0,1,1,100.0,1,2,50.0,3,1,4,0,1,1,2,0,-4
Andre Drummond,DET,12/10/2013,DET vs. MIN,L,29,8,4,9,44.4,0,0,-,0,1,0.0,4,4,8,0,0,2,1,2,-19
Jonas Jerebko,DET,12/10/2013,DET vs. MIN,L,21,5,2,3,66.7,0,0,-,1,2,50.0,1,3,4,1,0,0,4,3,-9
Kyle Singler,DET,12/10/2013,DET vs. MIN,L,11,0,0,0,-,0,0,-,0,0,-,0,2,2,0,0,0,0,4,0
Kyle Singler,DET,12/08/2013,DET vs. MIA,L,20,10,3,4,75.0,1,2,50.0,3,4,75.0,2,0,2,1,1,0,1,3,-1
Kentavious Caldwell-Pope,DET,12/08/2013,DET vs. MIA,L,18,0,0,4,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,2,-14
Tony Mitchell,DET,12/08/2013,DET vs. MIA,L,4,0,0,1,0.0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,3
Greg Monroe,DET,12/08/2013,DET vs. MIA,L,29,10,3,10,30.0,0,0,-,4,5,80.0,4,3,7,1,2,0,2,2,-15
Andre Drummond,DET,12/08/2013,DET vs. MIA,L,36,19,8,11,72.7,0,0,-,3,6,50.0,8,6,14,0,2,2,1,1,-12
Gigi Datome,DET,12/08/2013,DET vs. MIA,L,8,0,0,4,0.0,0,1,0.0,0,0,-,0,2,2,0,0,0,0,1,3
Josh Harrellson,DET,12/08/2013,DET vs. MIA,L,11,0,0,3,0.0,0,0,-,0,0,-,1,2,3,0,0,0,0,1,-3
Jonas Jerebko,DET,12/08/2013,DET vs. MIA,L,21,12,5,9,55.6,2,2,100.0,0,0,-,0,3,3,1,2,0,2,4,1
Charlie Villanueva,DET,12/08/2013,DET vs. MIA,L,14,10,4,8,50.0,2,6,33.3,0,0,-,0,2,2,2,1,0,0,0,-6
Brandon Jennings,DET,12/08/2013,DET vs. MIA,L,34,19,6,14,42.9,1,4,25.0,6,7,85.7,0,4,4,6,2,0,6,3,-13
Josh Smith,DET,12/08/2013,DET vs. MIA,L,31,13,6,14,42.9,1,4,25.0,0,0,-,1,3,4,2,0,0,3,3,-16
Peyton Siva,DET,12/08/2013,DET vs. MIA,L,14,2,1,3,33.3,0,0,-,0,0,-,0,2,2,4,0,0,2,1,-2
Rodney Stuckey,DET,12/07/2013,DET @ CHI,W,10,2,0,3,0.0,0,0,-,2,2,100.0,0,0,0,1,0,0,1,0,-2
Peyton Siva,DET,12/07/2013,DET @ CHI,W,6,0,0,1,0.0,0,0,-,0,0,-,0,0,0,0,0,1,1,1,-8
Jonas Jerebko,DET,12/07/2013,DET @ CHI,W,7,3,1,3,33.3,1,3,33.3,0,0,-,0,0,0,0,0,0,1,2,-3
Josh Harrellson,DET,12/07/2013,DET @ CHI,W,13,10,4,6,66.7,2,2,100.0,0,0,-,2,3,5,2,0,3,0,3,16
Josh Smith,DET,12/07/2013,DET @ CHI,W,35,7,2,11,18.2,1,2,50.0,2,2,100.0,0,10,10,3,1,0,5,2,15
Kentavious Caldwell-Pope,DET,12/07/2013,DET @ CHI,W,38,9,4,8,50.0,1,1,100.0,0,0,-,1,2,3,0,1,0,0,3,19
Andre Drummond,DET,12/07/2013,DET @ CHI,W,30,8,4,11,36.4,0,0,-,0,0,-,8,6,14,1,0,2,3,4,-2
Brandon Jennings,DET,12/07/2013,DET @ CHI,W,42,33,12,22,54.5,5,8,62.5,4,4,100.0,0,3,3,5,2,0,3,1,25
Kyle Singler,DET,12/07/2013,DET @ CHI,W,22,12,4,5,80.0,2,3,66.7,2,3,66.7,1,3,4,0,2,1,1,2,5
Greg Monroe,DET,12/07/2013,DET @ CHI,W,36,8,3,10,30.0,0,0,-,2,4,50.0,1,11,12,3,2,2,3,2,20
Peyton Siva,DET,12/04/2013,DET @ MIL,W,4,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,1,3,-4
Rodney Stuckey,DET,12/04/2013,DET @ MIL,W,25,4,1,8,12.5,0,3,0.0,2,2,100.0,0,2,2,1,1,0,2,3,-1
Jonas Jerebko,DET,12/04/2013,DET @ MIL,W,7,2,0,1,0.0,0,0,-,2,2,100.0,1,1,2,2,0,1,0,1,-3
Josh Smith,DET,12/04/2013,DET @ MIL,W,42,17,6,19,31.6,1,6,16.7,4,5,80.0,2,4,6,3,1,3,2,1,8
Kentavious Caldwell-Pope,DET,12/04/2013,DET @ MIL,W,28,8,3,6,50.0,2,4,50.0,0,2,0.0,2,1,3,1,0,1,1,1,7
Brandon Jennings,DET,12/04/2013,DET @ MIL,W,42,17,4,16,25.0,2,5,40.0,7,8,87.5,0,2,2,11,3,1,6,1,15
Andre Drummond,DET,12/04/2013,DET @ MIL,W,38,24,8,13,61.5,0,0,-,8,14,57.1,7,12,19,0,2,3,2,3,17
Josh Harrellson,DET,12/04/2013,DET @ MIL,W,3,0,0,2,0.0,0,0,-,0,0,-,1,0,1,0,0,0,0,0,-4
Kyle Singler,DET,12/04/2013,DET @ MIL,W,21,15,5,6,83.3,2,3,66.7,3,3,100.0,1,2,3,0,0,0,0,6,-9
Greg Monroe,DET,12/04/2013,DET @ MIL,W,31,18,6,15,40.0,0,0,-,6,6,100.0,7,10,17,3,0,2,1,2,9
Josh Smith,DET,12/03/2013,DET @ MIA,W,39,15,7,21,33.3,0,4,0.0,1,2,50.0,0,4,4,4,2,1,3,3,3
Greg Monroe,DET,12/03/2013,DET @ MIA,W,37,16,8,10,80.0,0,0,-,0,2,0.0,1,5,6,5,1,2,3,3,11
Kentavious Caldwell-Pope,DET,12/03/2013,DET @ MIA,W,20,10,4,7,57.1,0,0,-,2,2,100.0,1,3,4,2,1,0,0,2,13
Josh Harrellson,DET,12/03/2013,DET @ MIA,W,9,0,0,2,0.0,0,0,-,0,0,-,0,0,0,0,0,1,0,0,5
Rodney Stuckey,DET,12/03/2013,DET @ MIA,W,33,16,4,9,44.4,0,0,-,8,8,100.0,0,2,2,3,0,0,5,3,4
Brandon Jennings,DET,12/03/2013,DET @ MIA,W,44,15,5,9,55.6,2,4,50.0,3,4,75.0,0,4,4,5,4,0,7,1,3
Jonas Jerebko,DET,12/03/2013,DET @ MIA,W,10,7,3,5,60.0,1,1,100.0,0,0,-,1,2,3,0,0,0,0,0,4
Kyle Singler,DET,12/03/2013,DET @ MIA,W,27,18,6,10,60.0,4,7,57.1,2,2,100.0,2,3,5,2,1,0,0,1,9
Andre Drummond,DET,12/03/2013,DET @ MIA,W,23,10,4,7,57.1,0,0,-,2,6,33.3,8,10,18,0,2,1,0,6,-2
Jonas Jerebko,DET,12/01/2013,DET vs. PHI,W,12,5,1,3,33.3,0,2,0.0,3,4,75.0,2,3,5,0,1,0,4,3,-11
Andre Drummond,DET,12/01/2013,DET vs. PHI,W,33,31,12,15,80.0,0,0,-,7,18,38.9,6,13,19,0,6,2,1,2,25
Brandon Jennings,DET,12/01/2013,DET vs. PHI,W,38,20,7,16,43.8,3,8,37.5,3,3,100.0,2,4,6,12,0,0,5,2,10
Peyton Siva,DET,12/01/2013,DET vs. PHI,W,7,0,0,1,0.0,0,1,0.0,0,0,-,0,1,1,1,1,0,2,1,-1
Rodney Stuckey,DET,12/01/2013,DET vs. PHI,W,32,17,7,16,43.8,1,2,50.0,2,2,100.0,2,2,4,3,1,1,2,1,11
Gigi Datome,DET,12/01/2013,DET vs. PHI,W,3,0,0,2,0.0,0,2,0.0,0,0,-,1,1,2,0,0,0,0,1,-2
Kentavious Caldwell-Pope,DET,12/01/2013,DET vs. PHI,W,29,10,4,8,50.0,2,5,40.0,0,0,-,0,3,3,1,1,0,1,1,7
Josh Harrellson,DET,12/01/2013,DET vs. PHI,W,5,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,1,1,9
Kyle Singler,DET,12/01/2013,DET vs. PHI,W,16,5,1,7,14.3,1,2,50.0,2,4,50.0,2,2,4,0,1,0,1,1,-2
Josh Smith,DET,12/01/2013,DET vs. PHI,W,35,20,8,14,57.1,3,5,60.0,1,2,50.0,0,2,2,5,0,3,3,4,22
Greg Monroe,DET,12/01/2013,DET vs. PHI,W,26,7,1,6,16.7,0,0,-,5,6,83.3,1,9,10,4,1,0,3,3,9
Tony Mitchell,DET,12/01/2013,DET vs. PHI,W,3,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,1,0,0,-2
Andre Drummond,DET,11/29/2013,DET vs. LAL,L,16,13,5,10,50.0,0,0,-,3,4,75.0,6,5,11,0,1,1,0,4,9
Peyton Siva,DET,11/29/2013,DET vs. LAL,L,7,2,1,2,50.0,0,0,-,0,0,-,1,0,1,0,0,0,2,0,-2
Josh Harrellson,DET,11/29/2013,DET vs. LAL,L,12,4,2,4,50.0,0,0,-,0,0,-,3,0,3,2,1,0,0,1,3
Kyle Singler,DET,11/29/2013,DET vs. LAL,L,33,7,3,9,33.3,1,3,33.3,0,0,-,0,5,5,1,1,0,0,5,-17
Charlie Villanueva,DET,11/29/2013,DET vs. LAL,L,4,2,1,3,33.3,0,1,0.0,0,0,-,0,1,1,0,0,0,0,0,-2
Rodney Stuckey,DET,11/29/2013,DET vs. LAL,L,33,22,8,17,47.1,0,0,-,6,9,66.7,1,1,2,2,1,0,1,2,-10
Brandon Jennings,DET,11/29/2013,DET vs. LAL,L,41,19,8,17,47.1,0,1,0.0,3,5,60.0,1,1,2,9,0,0,4,3,-2
Josh Smith,DET,11/29/2013,DET vs. LAL,L,44,8,4,16,25.0,0,1,0.0,0,4,0.0,7,12,19,8,5,2,5,3,-2
Greg Monroe,DET,11/29/2013,DET vs. LAL,L,35,19,9,15,60.0,0,0,-,1,3,33.3,2,6,8,3,1,0,1,2,-3
Kentavious Caldwell-Pope,DET,11/29/2013,DET vs. LAL,L,15,6,3,7,42.9,0,2,0.0,0,0,-,1,2,3,0,0,0,0,2,6
Rodney Stuckey,DET,11/27/2013,DET vs. CHI,L,29,25,9,16,56.3,0,2,0.0,7,8,87.5,1,1,2,2,0,1,1,1,-14
Charlie Villanueva,DET,11/27/2013,DET vs. CHI,L,4,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,1,0,4
Greg Monroe,DET,11/27/2013,DET vs. CHI,L,22,5,2,5,40.0,0,0,-,1,2,50.0,1,2,3,1,2,0,2,4,-12
Gigi Datome,DET,11/27/2013,DET vs. CHI,L,2,4,2,2,100.0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2
Tony Mitchell,DET,11/27/2013,DET vs. CHI,L,2,0,0,0,-,0,0,-,0,2,0.0,2,0,2,0,0,0,0,0,2
Kyle Singler,DET,11/27/2013,DET vs. CHI,L,22,2,1,1,100.0,0,0,-,0,0,-,1,3,4,0,0,1,1,3,-14
Josh Harrellson,DET,11/27/2013,DET vs. CHI,L,8,4,2,3,66.7,0,1,0.0,0,0,-,1,0,1,0,1,0,0,2,-4
Will Bynum,DET,11/27/2013,DET vs. CHI,L,15,2,1,7,14.3,0,0,-,0,0,-,0,1,1,0,1,1,1,2,-3
Josh Smith,DET,11/27/2013,DET vs. CHI,L,34,13,6,12,50.0,1,4,25.0,0,4,0.0,2,9,11,3,0,1,4,1,-17
Brandon Jennings,DET,11/27/2013,DET vs. CHI,L,33,12,5,13,38.5,1,4,25.0,1,1,100.0,0,1,1,4,1,0,2,1,-17
Jonas Jerebko,DET,11/27/2013,DET vs. CHI,L,11,2,1,3,33.3,0,0,-,0,0,-,0,0,0,1,1,0,0,1,-1
Kentavious Caldwell-Pope,DET,11/27/2013,DET vs. CHI,L,19,0,0,4,0.0,0,0,-,0,0,-,0,2,2,1,3,0,1,1,-6
Andre Drummond,DET,11/27/2013,DET vs. CHI,L,39,10,5,10,50.0,0,0,-,0,2,0.0,4,7,11,0,2,0,2,3,-20
Charlie Villanueva,DET,11/25/2013,DET vs. MIL,W,13,12,5,9,55.6,2,5,40.0,0,0,-,0,2,2,0,1,0,0,0,-4
Tony Mitchell,DET,11/25/2013,DET vs. MIL,W,2,2,1,1,100.0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0
Rodney Stuckey,DET,11/25/2013,DET vs. MIL,W,30,17,7,11,63.6,2,3,66.7,1,3,33.3,0,3,3,2,1,0,1,3,12
Brandon Jennings,DET,11/25/2013,DET vs. MIL,W,36,15,5,10,50.0,4,6,66.7,1,2,50.0,1,1,2,13,2,0,4,4,15
Josh Harrellson,DET,11/25/2013,DET vs. MIL,W,9,3,1,2,50.0,1,2,50.0,0,0,-,0,3,3,0,0,0,0,1,-10
Josh Smith,DET,11/25/2013,DET vs. MIL,W,35,10,4,10,40.0,0,4,0.0,2,3,66.7,0,7,7,4,1,1,2,2,32
Gigi Datome,DET,11/25/2013,DET vs. MIL,W,2,0,0,1,0.0,0,1,0.0,0,0,-,0,1,1,0,0,0,0,1,0
